開始時刻,終了時刻,発言者,発言内容
00時27分40秒,00時28分01秒,株式会社VOLTMIND 長富元気,はい、感じてます。あ、承知いたしました。ありがとうございます。えっと、そしたら前者のマニュアルとかルール系のものに関してえ？それをあの調べ、調べる必要があると思ですけど、えっと、今ってどういった形式でそれを見ることが多いですか？そのファイルとして電子データになってるものが多いですか？それとも。
00時28分01秒,00時28分03秒,E342TAN001,フェースバイケースなんですけど。
00時28分03秒,00時28分03秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時28分03秒,00時28分10秒,E342TAN001,まず、社内の規則系は電子ファイルになっているものがほとんどです。もうほぼ百パーセントです。
00時28分10秒,00時28分11秒,株式会社VOLTMIND 長富元気,すいません。
00時28分11秒,00時28分12秒,E342TAN001,もう一つの
00時28分13秒,00時28分15秒,E342TAN001,キキスポーさん。マニュアル系は。
00時28分15秒,00時28分16秒,株式会社VOLTMIND 長富元気,はい。
00時28分16秒,00時28分18秒,E342TAN001,半分以上がやっぱ
00時28分18秒,00時28分20秒,E342TAN001,紙のあのファッシーです。
00時28分21秒,00時28分23秒,株式会社VOLTMIND 長富元気,上が紙。
00時28分27秒,00時28分32秒,E342TAN001,これはどんどん電子化されていくと思います。というのがどんどん機器が新しく更新されていくので、
00時28分33秒,00時28分35秒,E342TAN001,その仮面媒体のものって、やっぱ昔の。
00時28分37秒,00時28分38秒,E342TAN001,に限定されるかなと。
00時28分39秒,00時28分40秒,株式会社VOLTMIND 長富元気,あ、承知いたしました。
00時28分40秒,00時28分41秒,E342TAN001,思ってます。はい。
00時28分41秒,00時28分44秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時28分44秒,00時28分51秒,株式会社VOLTMIND 長富元気,そしたらちょうどその紙のお話になったのでお伺いさせていただきたいのが。
00時28分51秒,00時28分51秒,E342TAN001,はい。
00時28分51秒,00時28分54秒,株式会社VOLTMIND 長富元気,えっと、紙の
00時28分54秒,00時29分06秒,株式会社VOLTMIND 長富元気,に認識。えっと、紙媒体をえーま、社名かなんかをして、それを認識するみたいなところもえっとちらっと項目にあったかなと思ってまして、そのあたりについてもちょっと
00時29分06秒,00時29分09秒,株式会社VOLTMIND 長富元気,どんなイメージがあるかとかお伺いしてもよろしいでしょうか？
00時29分09秒,00時29分16秒,E342TAN001,そうですね。あの紙媒体を喋れっていうのは、むしろ、後者のナレッジマネージメント系の方で。
00時29分16秒,00時29分16秒,株式会社VOLTMIND 長富元気,あーなるほど。
00時29分16秒,00時29分18秒,E342TAN001,はい、その
00時29分19秒,00時29分24秒,E342TAN001,一見レポートだったり、その昔の技術資料みたいな。
00時29分24秒,00時29分27秒,E342TAN001,なんかもう手書きのものとかあったりとか
00時29分27秒,00時29分27秒,E342TAN001,はい。
00時29分27秒,00時29分28秒,吉武克のiPad,そうなんですよ。
00時29分28秒,00時29分29秒,E342TAN001,なんかの
00時29分29秒,00時29分30秒,E342TAN001,こう
00時29分30秒,00時29分34秒,E342TAN001,なんていうかな。スライドをなんか、もうプリントアウトした
00時29分34秒,00時29分36秒,E342TAN001,ハードコピーだけのものだったりとか。
00時29分37秒,00時29分37秒,株式会社VOLTMIND 長富元気,はい。
00時29分37秒,00時29分40秒,E342TAN001,みたいなものがあったりするんで。
00時29分40秒,00時29分47秒,E342TAN001,まあ正直ね、もうそれはもう古い情報やから、もう。諦めて損切りしようよっていう考え方もあるんですけど、まぁできれば。
00時29分49秒,00時29分53秒,E342TAN001,一度でも生かすことができればなとは考えているという次第です。
00時29分54秒,00時29分55秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時29分56秒,00時29分57秒,株式会社VOLTMIND 長富元気,えーえー
00時29分57秒,00時29分58秒,株式会社VOLTMIND 長富元気,えっと、
00時30分00秒,00時30分02秒,株式会社VOLTMIND 長富元気,あとそうですね。
00時30分07秒,00時30分19秒,株式会社VOLTMIND 長富元気,あ、そうだ。あ、えっと、既存のあのシェアポイントのポータルサイトっていうのは、えっと、どんな感じで使われてるかっていうところ。あ、ちょっ、ごめんなさい。めっちゃ抽象度高い質問になってしまって。
00時30分19秒,00時30分20秒,E342TAN001,はい。で。
00時30分20秒,00時30分23秒,株式会社VOLTMIND 長富元気,どんな感じで使われてるかとかお伺いしてもよろしい。
00時30分23秒,00時30分30秒,E342TAN001,そうですね。まず、どんな方で目標はこのポータルサイトを作った目標でも、ゴールは。
00時30分30秒,00時30分30秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時30分30秒,00時30分38秒,E342TAN001,まず、みんなが何かを探しに行くときに探しに行く場所を一元化しようと考えたことです。
00時30分38秒,00時30分39秒,株式会社VOLTMIND 長富元気,さっき。
00時30分39秒,00時30分39秒,E342TAN001,ちょっとはい、
00時30分40秒,00時30分42秒,E342TAN001,まずはそこその習慣化するというか？
00時30分43秒,00時30分51秒,E342TAN001,はい、そのためにえっと、いろんな機能を入れてるんですけど、一番はみんなが絶対そこ行くようにあの各種。まあ
00時30分51秒,00時31分05秒,E342TAN001,操作きあー、分析機器みたいなのがあるという話したんですけど、それ機器を予約する必要があるあるんですね。そういうルールになってるんです。その予約ページをそのポータルサイトに入れてます。その目的は必ずみんながそこ
00時31分06秒,00時31分08秒,E342TAN001,頻度高く訪れるようにするためです。
00時31分08秒,00時31分10秒,株式会社VOLTMIND 長富元気,あーなるほど。
00時31分10秒,00時31分14秒,E342TAN001,そこにこういろんな情報あ、ちょっとこれ共有した方がいいかな？ちょっと。
00時31分14秒,00時31分15秒,株式会社VOLTMIND 長富元気,します。
00時31分21秒,00時31分22秒,E342TAN001,ちょっと待ってくださいね。
00時31分22秒,00時31分23秒,E342TAN001,これを
00時31分27秒,00時31分28秒,E342TAN001,どういったんですか？
00時31分35秒,00時31分36秒,E342TAN001,画面このままでいいか。
00時31分52秒,00時31分54秒,E342TAN001,人が切り替わったっていうのはちょっとすいません。
00時31分55秒,00時31分57秒,E342TAN001,ちょっと更新してなかったから。
00時32分02秒,00時32分03秒,E342TAN001,まあまあそっちの
00時32分15秒,00時32分16秒,E342TAN001,こういう感じで個々に
00時32分16秒,00時32分17秒,E342TAN001,機器予約。
00時32分18秒,00時32分19秒,E342TAN001,なるほど。なるほど。
00時32分19秒,00時32分24秒,E342TAN001,はい、ページを入れてて、それ以外はなんか直近のイベント共有したりとか。
00時32分24秒,00時32分24秒,株式会社VOLTMIND 長富元気,うーん。
00時32分24秒,00時32分26秒,E342TAN001,まあ、なんかよく聞くワイファイの
00時32分27秒,00時32分27秒,E342TAN001,あのー、
00時32分27秒,00時32分38秒,E342TAN001,パスワードって何でしたっけ？みたいなビジターが来た時によく聞かれてえーだなんやったっけ？ってなるんでここに入れたりとか、プリンターのなんかドライバーがないとかって、その入れ方とか。
00時32分38秒,00時32分45秒,E342TAN001,あるあるみたいな情報を入れたりします。あとは、まあ簡単な製品情報を入れたりとかするんですけど、
00時32分45秒,00時32分48秒,E342TAN001,多分そんなには今のところまだ活用されてないですね。
00時32分48秒,00時32分50秒,株式会社VOLTMIND 長富元気,うーん。なるほど。なるほど。
00時32分50秒,00時32分50秒,E342TAN001,ありがとうござい。
00時32分52秒,00時33分12秒,株式会社VOLTMIND 長富元気,これは活用されていないのはまだみんなそのこれを使う習慣が身についていないからっていうところなんですかね？それとも結局それ以外のところも、その例えば、機器の説明書を探すときは、物理的に紙を探す必要があるから、なんだかんだここにまだ集約されていないからみんな使っていないっていう背景。
00時33分12秒,00時33分14秒,E342TAN001,そうですね。されてないっていうのが一つの理由
00時33分14秒,00時33分18秒,E342TAN001,だと思います。はい、だから情報が十分じゃない。十分揃ってないから。
00時33分18秒,00時33分19秒,E342TAN001,なるほど。なるほど。
00時33分20秒,00時33分22秒,E342TAN001,結局このみんな聞く予約を
00時33分22秒,00時33分24秒,E342TAN001,市に訪れているだけです。
00時33分24秒,00時33分25秒,株式会社VOLTMIND 長富元気,あーなるほど。なるほ。
00時33分25秒,00時33分26秒,E342TAN001,なるほど。
00時33分27秒,00時33分39秒,株式会社VOLTMIND 長富元気,これ。例えば、逆に言えば、このシェアポイントに全てのあの入れるべき情報がバーンと入っていたら、それで解決するっていう感じですか？それともまだ解決には
00時33分40秒,00時33分42秒,株式会社VOLTMIND 長富元気,何か足りないピースがあるとか。
00時33分42秒,00時33分45秒,E342TAN001,結局たくさんの情報入れちゃうと、今度検索性。
00時33分45秒,00時33分46秒,株式会社VOLTMIND 長富元気,確かに。
00時33分46秒,00時33分53秒,株式会社VOLTMIND 長富元気,のが探し出すのが大変になっちゃって。過去に十件データをめちゃくちゃ入れた時があったんですけども。
00時33分53秒,00時33分54秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時33分54秒,00時33分58秒,E342TAN001,以前のまま入れるだけでも大変だったんですけど、ほとんど誰も活用してくれなくて。
00時33分58秒,00時33分58秒,株式会社VOLTMIND 長富元気,なんで。
00時33分58秒,00時34分06秒,E342TAN001,みんなに聞いたらいちいち検索してもやっぱ結局出てくるのがそのエクセルのファイルとか。まあ、ワードの
00時34分06秒,00時34分11秒,E342TAN001,報告書でそんなんいちいち読んでられへんと知りたいのは、その自分が
00時34分12秒,00時34分16秒,E342TAN001,解決したい課題に問題に対する直接的な答えだっていう。
00時34分17秒,00時34分17秒,株式会社VOLTMIND 長富元気,わかります。
00時34分17秒,00時34分19秒,E342TAN001,ので、だから
00時34分20秒,00時34分23秒,E342TAN001,情報を増やしちゃう。そう。増やしすぎちゃうと、結局は。
00時34分24秒,00時34分32秒,株式会社VOLTMIND 長富元気,確かにトレードオフですもんね。こういうポータルサイトだと情報が多すぎると、検索の利便性下がって少なすぎると。
00時34分32秒,00時34分33秒,E342TAN001,そもそも
00時34分34秒,00時34分35秒,E342TAN001,必要がないっていう、
00時34分36秒,00時34分37秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時34分37秒,00時34分38秒,E342TAN001,はい。
00時34分38秒,00時34分43秒,株式会社VOLTMIND 長富元気,確かにそれだとすごいai。のチャットボットっていうのは相性はかなり良さそうですね。そう。
00時34分43秒,00時34分44秒,E342TAN001,はーい、
00時34分44秒,00時34分46秒,E342TAN001,そう考えています。
00時34分46秒,00時34分48秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。ありがとうございます。
00時34分48秒,00時34分49秒,E342TAN001,はい。
00時34分50秒,00時34分51秒,株式会社VOLTMIND 長富元気,えー。
00時34分51秒,00時34分52秒,株式会社VOLTMIND 長富元気,あとは
00時34分52秒,00時34分54秒,株式会社VOLTMIND 長富元気,えーと
00時34分58秒,00時34分59秒,株式会社VOLTMIND 長富元気,少々お待ちください。
00時34分59秒,00時34分59秒,E342TAN001,はいっ。
00時35分03秒,00時35分17秒,株式会社VOLTMIND 長富元気,あ、そうだ。あと、そのま。実験データのところに関してちょっとお伺いしたいところが、ま、そのファイルがおそらくエクセルファイルであ、ったりpdfファイルであったりえパワーポイントであったりとか、いろんな格上手の形式があると思ですけれども。
00時35分17秒,00時35分17秒,E342TAN001,えー、
00時35分17秒,00時35分21秒,E342TAN001,例えばエクセルファイルの中で。
00時35分22秒,00時35分27秒,株式会社VOLTMIND 長富元気,そのエクセルファイルの中には図表とかが入ってたりしますか？グラフであったりとか。
00時35分27秒,00時35分29秒,E342TAN001,入ってます。
00時35分29秒,00時35分30秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時35分31秒,00時35分35秒,株式会社VOLTMIND 長富元気,表が入っていて、それって。ちなみにその
00時35分35秒,00時35分39秒,株式会社VOLTMIND 長富元気,グラフですかね？それともまたいろんなパターンがありますかね？
00時35分39秒,00時35分41秒,E342TAN001,いろんなパターンありますね。グラフのものとか。
00時35分42秒,00時35分44秒,E342TAN001,あーっとね。
00時35分45秒,00時35分48秒,E342TAN001,ただもう数字が入ってるだけみたいなものとか、ちょっ。
00時35分48秒,00時35分49秒,株式会社VOLTMIND 長富元気,シェアします。
00時35分49秒,00時35分50秒,E342TAN001,ますね。ちょっ待ってくださ。
00時35分50秒,00時35分51秒,E342TAN001,ありがとうございます。
00時35分52秒,00時35分53秒,E342TAN001,例えば、だから、
00時35分58秒,00時36分00秒,E342TAN001,ああ、これとか。
00時36分19秒,00時36分20秒,E342TAN001,例えば
00時36分20秒,00時36分25秒,E342TAN001,これなんか、まあ典型的なあるあるの情報なんですけど。
00時36分25秒,00時36分26秒,株式会社VOLTMIND 長富元気,はい。
00時36分26秒,00時36分27秒,E342TAN001,これが
00時36分28秒,00時36分31秒,E342TAN001,例えばbyk三四二十と製品なんですけど。
00時36分31秒,00時36分31秒,株式会社VOLTMIND 長富元気,はい。
00時36分31秒,00時36分32秒,E342TAN001,板。これを
00時36分34秒,00時36分37秒,E342TAN001,まあ0.06%
00時36分39秒,00時36分41秒,E342TAN001,水とかエタノールと水。
00時36分42秒,00時36分42秒,E342TAN001,この日で
00時36分42秒,00時36分43秒,E342TAN001,いつでもだと思うの
00時36分43秒,00時36分54秒,E342TAN001,0とか0で混ぜたものに添加したもの。今度こっちは0.3%を水百パーエタノールと九対0対三で混ぜたものを
00時36分54秒,00時36分59秒,E342TAN001,なんかにごりを測定したデータとか泡立ち性を評価すべきかとか、表面上。
00時36分59秒,00時37分00秒,株式会社VOLTMIND 長富元気,聴力を測定したケース。
00時37分00秒,00時37分00秒,E342TAN001,かとか。
00時37分01秒,00時37分02秒,E342TAN001,なるほど、結構
00時37分02秒,00時37分08秒,E342TAN001,いわゆるその図表みたいなところにはこういうデー。タが多かったりします。ここを
00時37分08秒,00時37分16秒,E342TAN001,こう。Lnとかaiとか。にこう読み込んでもらうのが結構大変だよね。というのは会社さんでこれはきついなみたいな。
00時37分16秒,00時37分17秒,株式会社VOLTMIND 長富元気,そうですね。
00時37分17秒,00時37分18秒,E342TAN001,いる状況です。
00時37分19秒,00時37分39秒,株式会社VOLTMIND 長富元気,ここはハードル高そうですね。今まだai。って、ま、これから多分進化はしていくんですけど、このえっといなんていですか？ねこのえーと、横と縦の認識がaiって結構まだ弱いところがあって、これが全部こう。一列にテキストファイルだったらめっちゃ精度高く認識してくれるんですけど、
00時37分39秒,00時37分40秒,株式会社VOLTMIND 長富元気,この
00時37分40秒,00時37分58秒,株式会社VOLTMIND 長富元気,なんていですかね？これ今ってこう罫線でちゃんとこっからここがこのグループだよっていうのがあのめ人間はわかるようになってるんですけど、これをaiがまだ認識してるかっていうと結構怪しいところはあるなーっていうところは思いますね。なるほど。
00時37分58秒,00時38分02秒,E342TAN001,実験データの奥にはこういうものが入っちゃってます。
00時38分02秒,00時38分04秒,株式会社VOLTMIND 長富元気,うーん。
00時38分05秒,00時38分06秒,E342TAN001,はい。なるほど。なるほど。
00時38分07秒,00時38分10秒,株式会社VOLTMIND 長富元気,そうですね。ありがとうございます。はい、
00時38分12秒,00時38分14秒,株式会社VOLTMIND 長富元気,あとはそうですね。
00時38分18秒,00時38分38秒,株式会社VOLTMIND 長富元気,今えっとそうだ。2500。ファイルくらいデータがあるみたいな話があったと思ですけど、そのデータっていうのは、あのどういうとこどの場所にどんなフォルダ構成で配置されているとか。あと、そのフォファイルのそれぞれの。なんか命名規則みたいなものとかって。
00時38分38秒,00時38分38秒,E342TAN001,はい、
00時38分38秒,00時38分40秒,E342TAN001,決まってたりするものですか？
00時38分40秒,00時38分51秒,E342TAN001,あります。まず場所なんですけど、もうシアポニーだっと入れてます。で、ファイルの形式は先ほどね言っていただいた。エクセルとかワ。ードパワ。ポあるいは。Pdf、なんかも。あ、っ。たりします。で
00時38分51秒,00時38分54秒,E342TAN001,ファイル名の命名規則はもうなくて。
00時38分54秒,00時38分57秒,E342TAN001,人とか時代によってもうバラバラです。
00時38分57秒,00時38分58秒,株式会社VOLTMIND 長富元気,そうなりますよね。
00時38分58秒,00時38分59秒,E342TAN001,最悪です。はい
00時39分01秒,00時39分01秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時39分01秒,00時39分03秒,E342TAN001,で、あと何でしたっけ？
00時39分05秒,00時39分07秒,E342TAN001,当然表現の揺れみたいのもバリバリあって。
00時39分07秒,00時39分09秒,株式会社VOLTMIND 長富元気,あーなるほど。なるほど。
00時39分09秒,00時39分15秒,E342TAN001,例えば製品名に関してもさっきbykの何番ってあったんですけど、人によってはBの何番とかで略したりとか。
00時39分15秒,00時39分16秒,株式会社VOLTMIND 長富元気,いい。
00時39分16秒,00時39分17秒,E342TAN001,アイフン入れてなかったりとか。
00時39分17秒,00時39分19秒,株式会社VOLTMIND 長富元気,大文字、小文字、分かれたり。
00時39分19秒,00時39分20秒,E342TAN001,そうです。そうで。
00時39分20秒,00時39分23秒,株式会社VOLTMIND 長富元気,そうですね。はい、ありますよね。それ。
00時39分23秒,00時39分24秒,E342TAN001,はい。
00時39分24秒,00時39分25秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時39分28秒,00時39分31秒,株式会社VOLTMIND 長富元気,しようかな。どういう仕組みがいいかな。なるほど。なるほ。
00時39分31秒,00時39分36秒,E342TAN001,そこの実験データについては、今の段階ではちょっとその
00時39分39秒,00時39分40秒,E342TAN001,社内、
00時39分40秒,00時39分45秒,E342TAN001,その利用者が社内限定だとしても、外部のね。
00時39分47秒,00時40分11秒,E342TAN001,なんていうかな。サーバーにこうデータを出すというのはちょっと考えた方がいいんじゃない？みたいな状態になっているので、今だからそれを受けて考えているのは、もう世の中に公開しているデータがそのま。ホームページ通じて発信していたりとか、そのーま、学会とか他のね。そのウェブサイトなんかを通じて世の中に発信しているデータをまずは
00時40分11秒,00時40分19秒,E342TAN001,えっと共有化するということで。を始めていこうかなと思ってます。ただ、その情報の中にも
00時40分19秒,00時40分22秒,E342TAN001,今見ていただいたような図表は入ってた。
00時40分22秒,00時40分23秒,株式会社VOLTMIND 長富元気,そうですよね。なるほど。なるほど。
00時40分23秒,00時40分24秒,E342TAN001,はい。
00時40分25秒,00時40分26秒,株式会社VOLTMIND 長富元気,確かに。
00時40分26秒,00時40分29秒,E342TAN001,でファイルの形式も。はい、やっぱ。
00時40分29秒,00時40分31秒,株式会社VOLTMIND 長富元気,千差万別です。
00時40分31秒,00時40分33秒,株式会社VOLTMIND 長富元気,うーん、そうですよね。
00時40分33秒,00時40分35秒,株式会社VOLTMIND 長富元気,なるほど、なるほど
00時40分35秒,00時40分36秒,株式会社VOLTMIND 長富元気,ありがとうございま。
00時40分36秒,00時40分36秒,E342TAN001,はい。
00時40分36秒,00時41分03秒,株式会社VOLTMIND 長富元気,この場合、ま。仮にそれをaillrmに読み込ませる場合は一個工程が挟む必要ある。かなと思ってて、そのllが認識しやすいような形に変換して、その変換されたデータはえっと元のファイルがpdfだ。ろうとエクセルであろうとパワポであろうと全て一回こうかました。データが統一。化された基準で読み込ませるとかにする必要はありそうだなと。
00時41分04秒,00時41分05秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時41分05秒,00時41分09秒,E342TAN001,ちょっと素人ながらに思う。まとさっきね、見せていただいた。あの。なんか
00時41分10秒,00時41分12秒,E342TAN001,テキストデータを読み。
00時41分12秒,00時41分19秒,E342TAN001,込ませて、そのデータをもとにこうllから変えてもらうって。僕もあの、あの、例えばあのクロードのね。プロジェクトみたいなので。
00時41分19秒,00時41分20秒,株式会社VOLTMIND 長富元気,なんかちょっと。
00時41分20秒,00時41分23秒,E342TAN001,やってみたんですけど、だからそれにさっきみたのに近いなと思ってて。
00時41分23秒,00時41分24秒,E342TAN001,荒井だから。
00時41分24秒,00時41分24秒,株式会社VOLTMIND 長富元気,うーん。
00時41分25秒,00時41分26秒,E342TAN001,あれー、
00時41分26秒,00時41分31秒,E342TAN001,クロードのね。プロジェクトってあの読ま読み込ませるデータの上限が結構
00時41分32秒,00時41分38秒,E342TAN001,すぐ来ちゃで、実験データとかでバーって膨大に出たらもう全然ね、頭打ちになっちゃで、そこに。がもし
00時41分38秒,00時41分43秒,E342TAN001,たくさん容量が多いんなら容量がでかいなら
00時41分43秒,00時41分45秒,E342TAN001,結構ああいった形式で。
00時41分47秒,00時41分48秒,株式会社VOLTMIND 長富元気,そうですね。
00時41分48秒,00時41分51秒,E342TAN001,じゃないんかな。あとは。だから図表のデータをどう
00時41分52秒,00時41分53秒,E342TAN001,どう体系化するかっていうと、この中で。
00時41分53秒,00時41分54秒,株式会社VOLTMIND 長富元気,ちょっと。
00時41分54秒,00時41分56秒,E342TAN001,はい、ジャストアイデアですけど、思ってたんで。
00時41分56秒,00時42分25秒,株式会社VOLTMIND 長富元気,ありがとうございます。確かにそうですね。ま、こai。ってもう本当こう。スピ。ー。ドめちゃくちゃ進化のスピード早いので、今はまだ例えばトークンスがえっと百万までしかえトークン入りませんが、これがもうすぐに一ヶ月後にはえ2,000,000まで行きます。3,000,000まで行けますみたいな進化はしていくとは思ですけど。ま、とはいえ、その入れるデータに依存しちゃうっていうのはシステム上ちょっとなんか難しそうだなと思ったので、なんか？ま、
00時42分26秒,00時42分53秒,株式会社VOLTMIND 長富元気,ちょっとまだ技術的なところは整理する必要あるんですけど、例えばそのえーと読み込ませるデータ群がある箱があったとして、え？そこに都度都度、えっと、ユーザーが質問を投げたらaiがその箱から必要なものを探し出して取って渡してくるとかの形式なんだろうなとは思ったりしますね。最初、からaiにもバンとファイルを渡しておくのではなく。
00時42分55秒,00時42分55秒,E342TAN001,はあはあ。
00時42分55秒,00時42分58秒,株式会社VOLTMIND 長富元気,なのかなと思いました。
00時42分58秒,00時43分04秒,株式会社VOLTMIND 長富元気,まあ、ちょっとそこはまあ、割とこうなんとでもなるところだとは思うので。
00時43分04秒,00時43分04秒,E342TAN001,はーい。
00時43分04秒,00時43分18秒,株式会社VOLTMIND 長富元気,実際にこう要件定義であったり、その設計を組んでいくタイミングで、あのどういう形式だったら現実的にえー、可能。実現可能があるかな？っていうところは調べながら進めていく流れになるかなと思ってます。
00時43分18秒,00時43分20秒,E342TAN001,はい、ありがとうござい。
00時43分20秒,00時43分38秒,株式会社VOLTMIND 長富元気,とそうですねえと、ま、今のお話を伺いしていく中で、ま、おそらくこうあの。なんだっけ？レディクル様からはあのシナリオ型かai型かみたいな二択でっていうところがあったと思です。けどま今回ai型が多分
00時43分38秒,00時43分40秒,株式会社VOLTMIND 長富元気,一番いいのかなと思っています。
00時43分41秒,00時43分43秒,E342TAN001,シナリオ型ってどんなやつでしたっけ？すいませ。
00時43分43秒,00時43分51秒,株式会社VOLTMIND 長富元気,シナリオ型が説明。例えば、もう事前に回答を用意しておいて。
00時43分51秒,00時43分52秒,E342TAN001,あはあはあはあ。
00時43分52秒,00時44分02秒,株式会社VOLTMIND 長富元気,選択肢。例えば、どんな要件でお困りですか？選択肢一、二、三、四があって、一を選択したら次。この質問ここの質問が出てきて。のパターンですね。
00時44分03秒,00時44分03秒,E342TAN001,はい。はいはい。
00時44分03秒,00時44分13秒,株式会社VOLTMIND 長富元気,それ。それだともう多分シナリオ組むだけでもう無限の条件分岐になっちゃうの。ちょっと大変なので、ま、今回やり方が多分一番いいと思ってます。
00時44分13秒,00時44分14秒,E342TAN001,はい。
00時44分15秒,00時44分19秒,株式会社VOLTMIND 長富元気,で、あとはそうですね。
00時44分20秒,00時44分26秒,株式会社VOLTMIND 長富元気,コンテンツごとの閲覧権限みたいな言葉もあったかなと思ってまして。
00時44分26秒,00時44分27秒,E342TAN001,はい。
00時44分27秒,00時44分30秒,株式会社VOLTMIND 長富元気,それってなんかこうイメージとかってありますか？
00時44分30秒,00時44分32秒,E342TAN001,そうですね。そこはあの
00時44分33秒,00時44分36秒,E342TAN001,途中でお話しした技術情報ですね。レポート
00時44分36秒,00時44分36秒,E342TAN001,について
00時44分36秒,00時44分43秒,E342TAN001,ですけど、そこちょっと特性が高いんで、誰でも見れるような状態だったら困るので、
00時44分43秒,00時44分44秒,E342TAN001,特に社外の
00時44分44秒,00時44分46秒,E342TAN001,社会に展開したときとかは、
00時44分47秒,00時44分49秒,E342TAN001,そこへのアクセス権とかは
00時44分50秒,00時44分56秒,E342TAN001,気をつけないといけないねっていう話をしてたんですけど、今の段階ではそこまで気にしなくていいかなと思ってます。
00時44分56秒,00時44分57秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時44分57秒,00時44分57秒,E342TAN001,はい。
00時44分57秒,00時45分05秒,株式会社VOLTMIND 長富元気,承知いたしました。ありがとうございます。あとはえっと、そうだ。多言語対応に関してもちょっとお伺いしたいなと思ってまして。
00時45分05秒,00時45分06秒,E342TAN001,はい。
00時45分06秒,00時45分20秒,株式会社VOLTMIND 長富元気,ま足元こうすぐにっていうところじゃないのかもしれないんですけれども、あの、仮にその今、尼崎拠点の方におつ。新しいの作ってお使いいただいて、これいいねってなった場合、あのどの拠点にもあの
00時45分20秒,00時45分21秒,株式会社VOLTMIND 長富元気,持っていくみたいな流れなんですか？
00時45分21秒,00時45分22秒,株式会社VOLTMIND 長富元気,そうですね。はい、
00時45分22秒,00時45分26秒,株式会社VOLTMIND 長富元気,その時って言語で言うと英語で。
00時45分26秒,00時45分29秒,株式会社VOLTMIND 長富元気,とドイツ語とかですかね。
00時45分29秒,00時45分40秒,E342TAN001,英語が一番多くてドイツ語と。あとはね。でもやっぱ世界各国に拠点あるんでもしね、そこのみんなのデータも読ませるってなると、例えばハングルだったり、中枢。
00時45分40秒,00時45分41秒,株式会社VOLTMIND 長富元気,よかったり。
00時45分41秒,00時45分46秒,E342TAN001,多分たくさん出てくると思ですけど、まずは
00時45分46秒,00時45分50秒,E342TAN001,日本語と英語でいいかなとは思います。
00時45分50秒,00時45分52秒,株式会社VOLTMIND 長富元気,てます。あ、承知いたしました。
00時45分53秒,00時45分57秒,株式会社VOLTMIND 長富元気,最初の段階からもう英語は入れておいた方が良い
00時45分57秒,00時45分58秒,株式会社VOLTMIND 長富元気,っていうことですか？
00時45分58秒,00時46分02秒,E342TAN001,そうですね。
00時46分02秒,00時46分03秒,E342TAN001,でも、
00時46分04秒,00時46分11秒,E342TAN001,英語を入れることで、なんか工数がめっちゃ増えるとか、コストがめっちゃ増えるんやったら日本語限定。
00時46分11秒,00時46分13秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時46分13秒,00時46分14秒,E342TAN001,そこまで必要じゃないです。
00時46分14秒,00時46分15秒,株式会社VOLTMIND 長富元気,うーん、承知いたしました。
00時46分15秒,00時46分16秒,E342TAN001,はい。
00時46分17秒,00時46分17秒,株式会社VOLTMIND 長富元気,ありがとうござい。
00時46分18秒,00時46分23秒,株式会社VOLTMIND 長富元気,あと使うシーンって基本もう。みんなパソコン上で使うっていう想定。
00時46分23秒,00時46分25秒,E342TAN001,はい、今はそう想定してます。
00時46分27秒,00時46分29秒,株式会社VOLTMIND 長富元気,そうですね。あと
00時46分30秒,00時46分31秒,株式会社VOLTMIND 長富元気,あとはー
00時46分32秒,00時46分33秒,株式会社VOLTMIND 長富元気,えーえー
00時46分42秒,00時46分43秒,株式会社VOLTMIND 長富元気,えっと、
00時46分44秒,00時46分45秒,株式会社VOLTMIND 長富元気,あとあの
00時46分45秒,00時46分54秒,株式会社VOLTMIND 長富元気,レディクル様に。からいただいてた情報のところで、えっと、費用対効果を可視化するためにこうデモみたいなものが欲しいみたいなお話も。
00時46分54秒,00時46分55秒,E342TAN001,そうなんですよね。
00時46分55秒,00時46分56秒,株式会社VOLTMIND 長富元気,思ってまして。
00時46分56秒,00時46分57秒,E342TAN001,はい。はいはいはい。
00時46分57秒,00時47分02秒,株式会社VOLTMIND 長富元気,本当に僕ら結構そういうの得意な理由なんです。
00時47分02秒,00時47分03秒,E342TAN001,そうですね。はい。
00時47分03秒,00時47分03秒,株式会社VOLTMIND 長富元気,ぜひ。そこは。
00時47分03秒,00時47分04秒,E342TAN001,ことです。
00時47分04秒,00時47分06秒,株式会社VOLTMIND 長富元気,くださいっていうところです。
